player_id,player_name,position,age,nationality,height,foot,contract,market_value,club_id
1141628,Yunus Emre Konak,Defensive Midfield,18,Türkiye,"1,81m",right,"Jun 30, 2029",€3.50m,1148
319859,Mathias Jensen,Central Midfield,28,Denmark,"1,80m",right,"Jun 30, 2026",€28.00m,1148
340321,Josh Dasilva,Central Midfield,25,"England, Angola","1,84m",left,"Jun 30, 2025",€10.00m,1148
470596,Paris Maghoma,Central Midfield,23,"England, DR Congo","1,84m",right,"Jun 30, 2027",€350k,1148
874538,Ryan Trevitt,Central Midfield,21,England,"1,7m",right,"Jun 30, 2026",€275k,1148
559263,Fábio Carvalho,Attacking Midfield,22,"Portugal, England","1,70m",right,N/A,€14.00m,1148
717411,Yegor Yarmolyuk,Attacking Midfield,20,Ukraine,"1,80m",right,"Jun 30, 2028",€10.00m,1148
473050,Kevin Schade,Left Winger,22,"Germany, Nigeria","1,85m",right,"Jun 30, 2028",€22.00m,1148
644401,Keane Lewis-Potter,Left Winger,23,England,"1,70m",right,"Jun 30, 2028",€15.00m,1148
540941,Mikkel Damsgaard,Left Winger,24,Denmark,"1,80m",right,"Jun 30, 2027",€10.00m,1148
1086375,Gustavo Nunes,Left Winger,18,Brazil,"1,73m",right,"Jun 30, 2030",€10.00m,1148
413039,Bryan Mbeumo,Right Winger,25,"Cameroon, France","1,71m",left,"Jun 30, 2026",€40.00m,1148
388165,Yoane Wissa,Centre-Forward,28,"DR Congo, France","1,76m",right,"Jun 30, 2026",€28.00m,1148
739443,Igor Thiago,Centre-Forward,23,"Brazil, Bulgaria","1,91m",right,"Jun 30, 2029",€25.00m,1148
249994,José Sá,Goalkeeper,31,Portugal,"1,92m",right,"Jun 30, 2027",€14.00m,543
110864,Sam Johnstone,Goalkeeper,31,England,"1,93m",right,"Jun 30, 2028",€10.00m,543
136401,Daniel Bentley,Goalkeeper,31,England,"1,93m",N/A,"Jun 30, 2027",€2.00m,543
215810,Tom King,Goalkeeper,29,"Wales, England","1,94m",right,"Jun 30, 2027",€200k,543
606718,Toti,Centre-Back,25,"Portugal, Guinea-Bissau","1,87m",left,"Jun 30, 2029",€20.00m,543
438001,Santiago Bueno,Centre-Back,25,"Uruguay, Italy","1,90m",right,"Jun 30, 2028",€8.00m,543
716276,Yerson Mosquera,Centre-Back,23,Colombia,"1,88m",right,"Jun 30, 2026",€6.00m,543
121477,Craig Dawson,Centre-Back,34,England,"1,88m",right,"Jun 30, 2025",€2.00m,543
955253,Bastien Meupiyou,Centre-Back,18,"France, Cameroon","1,91m",left,"Jun 30, 2029",€800k,543
578391,Rayan Aït-Nouri,Left-Back,23,"Algeria, France","1,80m",left,"Jun 30, 2026",€35.00m,543
231572,Nélson Semedo,Right-Back,30,"Portugal, Cape Verde","1,77m",right,"Jun 30, 2025",€12.00m,543
171679,Matt Doherty,Right-Back,32,Ireland,"1,85m",right,"Jun 30, 2026",€3.00m,543
1193867,Pedro Lima,Right-Back,18,Brazil,"1,74m",right,"Jun 30, 2029",€2.50m,543
800176,André,Defensive Midfield,23,Brazil,"1,76m",right,N/A,€25.00m,543
